distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.2,11.5,1.0,-0.6676,0.6724,4903.6,0.2222,7562.07,199.98,55.55,99.99,82622.5,1.817,5009.0,8.729,324472576.0,0.7476,1406.4,21.21,11.5,wall,20
20.2,12.23,1.0,-0.6772,0.6909,5241.41,0.2353,7934.39,188.87,44.44,99.99,83978.0,1.807,5196.3,8.529,356169664.0,0.7542,1054.8,21.75,12.23,wall,20
20.2,11.85,1.0,-0.6133,0.7154,4976.84,0.2222,7774.63,199.98,55.55,99.99,83529.5,1.844,5141.6,8.669,336542752.0,0.7515,1054.8,21.47,11.85,wall,20
20.2,11.59,1.0,-0.6343,0.7016,4894.64,0.2222,7564.22,199.98,55.55,99.99,82292.9,1.833,5083.6,8.68,323836608.0,0.7499,1406.4,21.28,11.59,wall,20
20.2,12.39,1.0,-0.6723,0.6899,5290.84,0.2353,8062.57,188.87,44.44,99.99,84662.6,1.814,5269.9,8.474,364357408.0,0.7564,1054.8,21.86,12.39,wall,20
20.2,11.93,1.0,-0.6322,0.6953,5014.81,0.2222,7897.49,199.98,55.55,99.99,84050.6,1.841,5218.4,8.594,342722368.0,0.7547,1054.8,21.53,11.93,wall,20
20.2,11.64,1.0,-0.6432,0.6899,4915.01,0.2222,7613.14,199.98,55.55,99.99,82642.7,1.831,5160.7,8.63,327158336.0,0.7527,1406.4,21.32,11.64,wall,20
20.2,12.21,1.0,-0.6868,0.6795,5241.58,0.2353,7951.95,188.87,44.44,111.1,83979.3,1.803,5204.1,8.496,355656320.0,0.7545,1406.4,21.73,12.21,wall,20
20.2,11.96,1.0,-0.6694,0.6844,5189.85,0.2353,7621.62,188.87,44.44,99.99,83783.6,1.785,5000.9,8.832,348973312.0,0.7464,1054.8,21.55,11.96,wall,20
20.2,11.63,1.0,-0.6378,0.6829,4940.45,0.2222,7705.47,199.98,55.55,99.99,83223.5,1.825,4983.3,8.811,330891776.0,0.746,1406.4,21.31,11.63,wall,20
20.2,12.11,1.0,-0.7021,0.6586,5251.79,0.2353,7817.6,188.87,44.44,99.99,84468.6,1.79,5055.0,8.664,357121824.0,0.7492,1054.8,21.67,12.11,wall,20
20.2,11.81,1.0,-0.6373,0.6892,5001.24,0.2222,7793.59,199.98,55.55,99.99,84025.8,1.834,5062.3,8.727,339941920.0,0.7488,1406.4,21.44,11.81,wall,20
20.2,11.56,1.0,-0.6507,0.6861,4911.79,0.2222,7608.14,199.98,55.55,99.99,82601.6,1.829,5022.3,8.722,326477632.0,0.7475,1406.4,21.26,11.56,wall,20
20.2,11.91,1.0,-0.7073,0.6783,5144.02,0.1176,7787.44,188.87,44.44,99.99,82464.1,1.799,5154.0,8.547,342256736.0,0.7531,1054.8,21.52,11.91,wall,20
20.2,11.57,1.0,-0.6482,0.6956,4904.36,0.2222,7641.85,199.98,55.55,99.99,82293.2,1.832,5159.8,8.664,326334912.0,0.7529,1054.8,21.27,11.57,wall,20
20.2,11.28,1.0,-0.6573,0.6981,4805.05,0.2222,7361.96,199.98,55.55,99.99,80921.5,1.821,5121.1,8.713,311702496.0,0.7513,1406.4,21.04,11.28,wall,20
20.2,12.13,1.0,-0.6818,0.6963,5211.02,0.2353,7898.47,188.87,55.55,99.99,83424.8,1.806,5290.5,8.516,352970912.0,0.7572,1054.8,21.68,12.13,wall,20
20.2,11.92,1.0,-0.654,0.7207,5146.06,0.2353,7695.74,188.87,55.55,99.99,82575.6,1.796,5243.0,8.641,344300832.0,0.7549,1054.8,21.52,11.92,wall,20
