r_cm,v_cms,temp,peak,snr,width_us,area,power_percent,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material
36.6,0.0,25.0,5069.11,23.3,633.27,130881.9,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
36.5,-0.22,25.0,4900.72,22.51,666.6,130248.6,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
36.5,-0.22,25.0,4900.72,22.51,666.6,130248.6,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
36.5,-0.22,25.0,4900.72,22.51,666.6,130248.6,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
36.5,-0.22,25.0,4900.72,22.51,666.6,130248.6,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
36.5,-0.22,25.0,4900.72,22.51,666.6,130248.6,19.8,0.6728939291863164,3558.0399281383334,16.70782992738977,213.8782062357224,0.0433012701892225,3.0097687499999983,621.6776918146544,40,Cardboard
46.2,0.22,25.0,2341.46,11.7,822.14,93555.4,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
46.2,0.22,25.0,2341.46,11.7,822.14,93555.4,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
46.2,0.22,25.0,2341.46,11.7,822.14,93555.4,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,-1.97,25.0,2335.36,11.68,844.36,94419.2,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,-1.97,25.0,2335.36,11.68,844.36,94419.2,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,-1.97,25.0,2335.36,11.68,844.36,94419.2,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,-1.97,25.0,2335.36,11.68,844.36,94419.2,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,-1.97,25.0,2335.36,11.68,844.36,94419.2,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.0,25.0,2404.84,12.04,822.14,93195.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.0,25.0,2404.84,12.04,822.14,93195.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.0,25.0,2404.84,12.04,822.14,93195.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.0,25.0,2404.84,12.04,822.14,93195.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.0,25.0,2404.84,12.04,822.14,93195.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.22,25.0,2444.74,12.25,777.7,90788.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.22,25.0,2444.74,12.25,777.7,90788.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.22,25.0,2444.74,12.25,777.7,90788.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
45.8,0.22,25.0,2444.74,12.25,777.7,90788.9,19.8,0.2607271876595021,2024.002062893438,17.757538989394885,114.03896805348082,0.142828568570859,0.05660275,1412.1425209499937,50,Cardboard
