r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
67.4,33.09,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,33.09,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,33.09,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,33.09,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.4,33.09,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,37.03,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,37.03,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,37.03,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,37.03,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,37.03,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
67.3,38.57,3024.3648356929643,331.8657106619753,9.11464202097874,4.271638999999995,3513.672098332452,Cardboard
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
